start	end	text
243680	248700	This is very important when the horse walks towards you like that they're asking for help.
248700	253980	So you see me immediately, I'm not pushing from behind anymore, I go straight to her
253980	260680	and I get into a leading position because she clearly got confused of which direction
260680	263140	she should go.
263820	272100	Good, and you see her looking back at me for clarity and then she comes back.
272100	279180	Again this is a very very unique and authentic video, this horse has never free jumped before,
279180	282380	it's never been through a chute.
282380	287980	So this is a very good example of some of your horses if you've never free jumped them
287980	288980	before.
289220	294460	So you see there when she went to go into the chute, I didn't persist or intend for
294460	299220	her to do that so she turned around to come back towards me and that's an acceptable
299220	300980	reaction.
300980	305700	So at no point do you want to be chasing the horses through the chute, they never jump
305700	308900	well like that and they don't have a good understanding.
308900	317980	You want to teach them the exercise and have them go through as they know how and are able.
319900	321820	Much better.
321820	327560	So in this case, aww she's going to the camera man, that's extra cute.
327560	333300	So after some repetitions on the one direction then you can switch sides and even increase
333300	341100	to standing on the end of the chute and letting the horse fully propel its own mind through
341100	345340	the chute, solving all the problems as they go along.
345340	351020	In this particular video you can't hear me saying the praises but I'm indicating with
351020	357060	my voice when to trot and I'm telling her good girl and that is really helping her mood
357060	360980	and her excitement on the subject.
360980	365220	When she's waiting for me like that, that's a very good sign she's understanding the game
365220	370560	and she's starting to know what's expected of her.
370560	374260	So secondly you're going to want to trot in and give them a little momentum, you see me
374380	382580	clapping my hands to encourage her to keep trotting and there she's accepting the reward
382580	392260	and going back to the end of the chute.
392260	397440	Coming and standing next to people is a very good sign for the horses, it's an indication
397440	403240	that they're ready for a reward and you've done a good job with your reward training.
403320	407600	So no matter how the horse goes over the obstacles you're still going to praise them for going
407600	410200	through the chute correctly.
410200	414520	Today we're probably not going to get very far with the jump height and that's a very
414520	416080	good idea.
416080	423360	You want to teach the horse the skills and the set up just the way we teach ourselves.
423360	427240	We want to teach technique first and then go further.
427240	432480	After you get some confidence with cross rails then you can set up a small vertical and just
432480	434860	make sure that the distances are agreeable.
434860	440360	This is a very open two so you can trot in and get a nice three between the two fences
440360	446080	and it's not too awkward for the horses.
446080	451640	Some really important things to remember is to take your time to lower your expectations
451640	457720	for the first few times and just let the horse experience going through the chute correctly.
457720	463360	If you have to keep the rails on the ground for the entire first time, keep leading them,
463360	471720	those things, stay at that exact same spot for a while before moving on to the next stage.
471720	476800	As the horse gets confident they'll start to go on their own or direct themselves to
476800	477800	the chute.
477800	480060	There you see the horse getting very excited and happy.
480060	481740	This is a good sign.
481740	492920	That means that they're getting more comfortable and more excited and happy about the exercise.
492920	498980	Be sure to be giving the horse breaks depending on their fitness and lots of pats and praise
498980	508580	for simply just engaging with you and having an attempt to listen and learn from you.
508680	513880	Lastly when the horse can be led in and then closely followed then you can send them into
513880	518920	the chute on their own like a large lunge circle.
518920	524480	You can start to almost just lunge them straight into the chute and if they get confused on
524480	528920	direction just gently go back to the lunge position.
528920	533200	You see I just changed my mind and we're going to lunge to the right there.
533200	539540	As your horse gets better at it then you can be more strict and help them with their direction
539540	544620	but understand that for the most part they're just confused on which direction to go and
544620	546060	that's okay.
546060	561100	Just redirect them and you'll be surprised at how much effort they give you.
561100	567100	For the first day that's a perfectly acceptable goal doing two verticals in the chute and
567100	569760	being able to do it all on her own.
569760	574780	This is a great conclusion to her lesson today and she's very happy and rambunctious about
574780	575780	it.
575780	585340	It's a very good sign that she is engaged to work and thinks this is quite a fun game.
585340	593820	As we wind down here you see me offering myself as a steady place to get a pet and she's still
593820	597220	having a little bit of fun and when she's done having her fun she's going to come back
597220	601580	to me and get her pet and that's okay too.
